id,asset,spot_price,strike_price,time_to_expiry,risk_free_rate,volatility,option_type,option_price,delta,gamma,theta,vega,calculated_at
75,AMZN,171.163,147.489,1.27468,0.0400966,0.445075,call,48.7423,0.741897,0.00375705,-0.0384634,0.624453,2026-05-20T14:08:06Z
76,AAPL,166.978,176.075,0.747187,0.0378208,0.373217,put,23.8253,-0.466348,0.0073795,-0.0287219,0.573766,2026-05-20T14:08:06Z
77,TSLA,269.289,257.037,1.87963,0.0311756,0.338076,call,61.5087,0.676755,0.00287716,-0.0429789,1.32583,2026-05-20T14:08:06Z
78,SPY,534.165,541.852,0.904595,0.0470556,0.409166,put,74.026,-0.394641,0.00185183,-0.0844587,1.95571,2026-05-20T14:08:06Z
79,NVDA,546.33,485.308,0.575031,0.0474163,0.540202,call,124.78,0.712433,0.00152346,-0.216127,1.4125,2026-05-20T14:08:06Z
80,AMZN,184.454,169.989,1.39171,0.0521973,0.257206,put,10.0528,-0.25454,0.00573191,-0.00952138,0.698081,2026-05-20T14:08:06Z
81,AAPL,166.441,168.155,1.04347,0.0416885,0.283936,call,21.7227,0.602443,0.00799002,-0.0334162,0.655793,2026-05-20T14:08:06Z
82,TSLA,209.998,181.868,1.92123,0.0554143,0.309707,put,13.6228,-0.212532,0.0032195,-0.00981109,0.844795,2026-05-20T14:08:06Z
83,SPY,532.224,560.449,1.01679,0.0447908,0.187478,call,38.5877,0.524757,0.00395742,-0.0835108,2.13689,2026-05-20T14:08:06Z
84,NVDA,418.341,431.197,1.15204,0.0363818,0.575788,put,98.5322,-0.371514,0.00146233,-0.0909141,1.69759,2026-05-20T14:08:06Z
85,AMZN,200.253,177.032,1.86877,0.0592274,0.598169,call,79.9838,0.756454,0.00191363,-0.0492153,0.857822,2026-05-20T14:08:06Z
86,AAPL,143.911,154.145,1.13724,0.0511749,0.585893,put,36.2468,-0.383768,0.00424715,-0.0285365,0.586078,2026-05-20T14:08:06Z
87,TSLA,268.803,295.976,1.74705,0.0551544,0.341741,call,48.0366,0.589391,0.00320285,-0.0537048,1.38168,2026-05-20T14:08:06Z
88,SPY,400.064,387.66,1.7946,0.0343981,0.380997,put,60.4448,-0.330747,0.00177519,-0.0383303,1.94264,2026-05-20T14:08:06Z
89,NVDA,446.646,457.54,1.73996,0.0564108,0.256508,call,75.1689,0.651007,0.00244838,-0.0773446,2.17995,2026-05-20T14:08:06Z
90,AMZN,209.354,215.125,0.765415,0.0512454,0.36675,put,25.2911,-0.421552,0.00582376,-0.0310894,0.716528,2026-05-20T14:08:06Z
91,AAPL,166.459,176.701,0.572576,0.0399076,0.345503,call,14.6863,0.495908,0.00916665,-0.0489541,0.502471,2026-05-20T14:08:06Z
92,TSLA,225.368,218.959,1.1858,0.0522292,0.495238,put,36.679,-0.330698,0.00298224,-0.0349768,0.889513,2026-05-20T14:08:06Z
93,SPY,508.102,545.328,1.39397,0.0371252,0.3301,call,74.4869,0.558134,0.00199316,-0.0980775,2.3678,2026-05-20T14:08:06Z
94,NVDA,495.543,433.534,1.1039,0.0430901,0.510949,put,60.3852,-0.272243,0.00124804,-0.0865483,1.72863,2026-05-20T14:08:06Z
95,AMZN,214.409,218.011,0.713104,0.031302,0.566089,call,40.9972,0.599038,0.00377173,-0.0836145,0.699946,2026-05-20T14:08:06Z
96,AAPL,204.338,189.196,1.42128,0.032263,0.224797,put,10.815,-0.276795,0.00611263,-0.0117125,0.81545,2026-05-20T14:08:06Z
97,TSLA,221.681,208.014,1.99208,0.0509078,0.322891,call,56.1292,0.722412,0.00331801,-0.0377949,1.04881,2026-05-20T14:08:06Z
98,SPY,492.678,554.054,1.92153,0.0317359,0.327535,put,106.036,-0.459086,0.00177408,-0.0343982,2.71023,2026-05-20T14:08:06Z
99,NVDA,421.351,400.578,0.422392,0.0494055,0.324721,call,50.6434,0.671469,0.00406533,-0.135692,0.989942,2026-05-20T14:08:06Z
100,AMZN,160.516,149.245,0.784656,0.0377985,0.353958,put,12.2036,-0.314346,0.00705214,-0.0246957,0.504651,2026-05-20T14:08:06Z
101,AAPL,142.262,132.863,0.881293,0.0480835,0.271931,call,22.4075,0.712737,0.00938348,-0.0296425,0.455115,2026-05-20T14:08:06Z
102,TSLA,213.319,186.197,1.88701,0.0424992,0.411523,put,25.1254,-0.253006,0.00265189,-0.0187852,0.937089,2026-05-20T14:08:06Z
103,SPY,525.452,459.678,1.76566,0.0465476,0.224175,call,121.165,0.808884,0.00173997,-0.0718232,1.90152,2026-05-20T14:08:06Z
104,NVDA,482.251,522.413,1.0127,0.0595586,0.319533,put,67.1184,-0.460339,0.00255993,-0.0360921,1.92651,2026-05-20T14:08:06Z
105,AMZN,197.97,191.614,1.67541,0.0470724,0.17858,call,29.6557,0.725055,0.00729094,-0.0271702,0.854941,2026-05-20T14:08:06Z
106,AAPL,142.578,126.916,0.125977,0.0322608,0.461271,put,2.94991,-0.206849,0.0122369,-0.0696368,0.144551,2026-05-20T14:08:06Z
107,TSLA,253.435,272.435,1.83501,0.0475545,0.476754,call,65.6017,0.635362,0.00229573,-0.0583433,1.28999,2026-05-20T14:08:06Z
108,SPY,496.275,478.089,0.558061,0.0361514,0.263149,put,25.5037,-0.347961,0.00378858,-0.0688823,1.37026,2026-05-20T14:08:06Z
109,NVDA,454.946,414.988,1.76862,0.05271,0.171103,call,87.9273,0.823157,0.00250661,-0.0621897,1.57,2026-05-20T14:08:06Z
110,AMZN,163.344,139.93,1.04651,0.0442863,0.524117,put,18.6256,-0.260083,0.00370425,-0.029777,0.542104,2026-05-20T14:08:06Z
111,AAPL,161.544,176.878,1.93915,0.0326522,0.506318,call,42.9249,0.623136,0.00333439,-0.0357232,0.854348,2026-05-20T14:08:06Z
112,TSLA,258.996,257.445,0.899018,0.05354,0.437713,put,34.9772,-0.367698,0.00350544,-0.0426141,0.925306,2026-05-20T14:08:06Z
113,SPY,504.908,565.974,1.2728,0.0594139,0.42364,call,87.6252,0.562895,0.0016326,-0.134323,2.24419,2026-05-20T14:08:06Z
114,NVDA,527.329,536.001,0.272904,0.0517919,0.396351,put,44.1055,-0.462946,0.00363802,-0.176805,1.09425,2026-05-20T14:08:06Z
115,AMZN,176.466,198.196,0.666123,0.0457081,0.463939,call,20.4872,0.485259,0.00596644,-0.0629394,0.574183,2026-05-20T14:08:06Z
116,AAPL,195.753,193.366,1.69997,0.0530675,0.179806,put,9.4679,-0.289663,0.00745488,-0.00303103,0.873182,2026-05-20T14:08:06Z
117,TSLA,204.586,212.001,0.760085,0.0362739,0.410842,call,28.3786,0.56225,0.0053777,-0.0606561,0.70289,2026-05-20T14:08:06Z
118,SPY,421.481,426.193,0.974226,0.047543,0.330135,put,46.6268,-0.393214,0.00280006,-0.0466045,1.59984,2026-05-20T14:08:06Z
119,NVDA,539.534,487.749,1.42335,0.0423498,0.543443,call,170.855,0.716603,0.000967923,-0.139025,2.17944,2026-05-20T14:08:06Z
120,AMZN,181.097,206.801,1.24368,0.0367155,0.519806,put,51.889,-0.444464,0.0037633,-0.0323664,0.797884,2026-05-20T14:08:06Z
